State,StateAbbreviation,Pop,Pop-millions,,,,,,,,,,,,,,,,,,,,,
Alabama,AL,4903185,4.903185,,,,,,,,,,,,,,,,,,,,,
Alaska,AK,731545,0.731545,,,,,,,,,,,,,,,,,,,,,
Arizona,AZ,7278717,7.278717,,,,,,,,,,,,,,,,,,,,,
Arkansas,AR,3017825,3.017825,,,,,,,,,,,,,,,,,,,,,
California,CA,39512223,39.512223,,,,,,,,,,,,,,,,,,,,,
Colorado,CO,5758736,5.758736,,,,,,,,,,,,,,,,,,,,,
Connecticut,CT,3565287,3.565287,,,,,,,,,,,,,,,,,,,,,
Delaware,DE,973764,0.973764,,,,,,,,,,,,,,,,,,,,,
DC,DC,705749,0.705749,,,,,,,,,,,,,,,,,,,,,
Florida,FL,21477737,21.477737,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,10617423,10.617423,,,,,,,,,,,,,,,,,,,,,
Hawaii,HI,1415872,1.415872,,,,,,,,,,,,,,,,,,,,,
Idaho,ID,1787147,1.787147,,,,,,,,,,,,,,,,,,,,,
Illinois,IL,12671821,12.671821,,,,,,,,,,,,,,,,,,,,,
Indiana,IN,6732219,6.732219,,,,,,,,,,,,,,,,,,,,,
Iowa,IA,3155070,3.15507,,,,,,,,,,,,,,,,,,,,,
Kansas,KS,2913314,2.913314,,,,,,,,,,,,,,,,,,,,,
Kentucky,KY,4467673,4.467673,,,,,,,,,,,,,,,,,,,,,
Louisiana,LA,4648794,4.648794,,,,,,,,,,,,,,,,,,,,,
Maine,ME,1344212,1.344212,,,,,,,,,,,,,,,,,,,,,
Maryland,MD,6045680,6.04568,,,,,,,,,,,,,,,,,,,,,
Massachusetts,MA,6949503,6.949503,,,,,,,,,,,,,,,,,,,,,
Michigan,MI,9986857,9.986857,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,5639632,5.639632,,,,,,,,,,,,,,,,,,,,,
Mississippi,MS,2976149,2.976149,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,6137428,6.137428,,,,,,,,,,,,,,,,,,,,,
Montana,MT,1068778,1.068778,,,,,,,,,,,,,,,,,,,,,
Nebraska,NE,1934408,1.934408,,,,,,,,,,,,,,,,,,,,,
Nevada,NV,3080516,3.080516,,,,,,,,,,,,,,,,,,,,,
New Hampshire,NH,1359711,1.359711,,,,,,,,,,,,,,,,,,,,,
New Jersey,NJ,8882190,8.88219,,,,,,,,,,,,,,,,,,,,,
New Mexico,NM,2096829,2.096829,,,,,,,,,,,,,,,,,,,,,
New York,NY,19453561,19.453561,,,,,,,,,,,,,,,,,,,,,
North Carolina,NC,10488084,10.488084,,,,,,,,,,,,,,,,,,,,,
North Dakota,ND,162062,0.162062,,,,,,,,,,,,,,,,,,,,,
Ohio,OH,11689100,11.6891,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OK,3956971,3.956971,,,,,,,,,,,,,,,,,,,,,
Oregon,OR,4217737,4.217737,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,12801989,12.801989,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,PR,3193694,3.193694,,,,,,,,,,,,,,,,,,,,,
Rhode Island,RI,1059361,1.059361,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC,5148714,5.148714,,,,,,,,,,,,,,,,,,,,,
South Dakota,SD,884659,0.884659,,,,,,,,,,,,,,,,,,,,,
Tennessee,TN,6833174,6.833174,,,,,,,,,,,,,,,,,,,,,
Texas,TX,28995881,28.995881,,,,,,,,,,,,,,,,,,,,,
Utah,UT,3205958,3.205958,,,,,,,,,,,,,,,,,,,,,
Vermont,VT,623989,0.623989,,,,,,,,,,,,,,,,,,,,,
Virginia,VA,8535519,8.535519,,,,,,,,,,,,,,,,,,,,,
Washington,WA,7614893,7.614893,,,,,,,,,,,,,,,,,,,,,
West Virginia,WV,1792065,1.792065,,,,,,,,,,,,,,,,,,,,,
Wisconsin,WI,5822434,5.822434,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,578759,0.578759,,,,,,,,,,,,,,,,,,,,,
